UF,Sigla,Pedido,Depósito,Título,Linguagem,Campo de Aplicação,Tipo Programa,Nome do Titular:,Nome do Autor,Nome do Procurador:,,
Ceará,UECE,BR 51 2021 000604 6,29/03/2021,SysHidronefrose - software para estruturação de laudos de ultrassonografia em pacientes com dilatação do trato urinário,PHP,  SD-08/ SD-09,"FA-01, GI-04",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,HARLEY SILVEIRA MENEZES / MANOEL MIQUEIAS MAIA / ROMMEL PRATA REGADAS,-,,
Ceará,UECE,BR 51 2021 000307 1,22/02/2021,HANDC - Software para coleta e acompanhamento da motricidade fina de pacientes cirróticos,PHP,SD-06/ SD-08/ SD-09," IA-02, IT-03",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,CASSIO PINHEIRO OLIVEIRA / FRANCISCO SÉRGIO RANGEL DE PAULA PESSOA / JOSÉ RICARDO DE FIGUEIREDO / MANOEL MIQUEIAS MAIA,-,,
Ceará,UECE,BR 51 2020 002500 5,11/11/2020,SIMON UPA: Sistema de Monitoramento das Unidades de Pronto Atendimento,.NET / CSS / HTML / JAVA SCRIPT,  AD-02/ SD-02,"  AP-03, GI-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, MARIA RAQUEL RODRIGUES CARVALHO / MARIA SALETE BESSA JORGE,-,,
Ceará,UECE,BR 51 2020 002234 0,19/10/2020,Melodiz,JAVA , CO-05/ ED-04/ ED-06/ FQ-02,AP-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,THIAGO DIAS DE CARVALHO QUARESMA GAMA,-,,
Ceará,UECE,BR 51 2020 002212 0,16/10/2020,HELP FERIDAS - TECNOLOGIA M-HEALT PARA PREVENÇÃO E CUIDADOS DE PESSOAS COM FERIDAS,JAVA SCRIPT,  BL-01/ BL-05 / BL-06 / SD-02/ SD-06/ SD-07/ SD-08,"AP-01, FA-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,MARIA CLÁUDIA CARNEIRO PINTO / MARIA SALETE BESSA JORGE,-,,
Ceará,UECE,BR 51 2020 002020 8,28/09/2020,STONEFLUX,JAVA SCRIPT, BL-01 / BL-03 / BL-05 / BL-06 / SD-01 / SD-03 / SD-05 / SD-07 / SD-08,AP-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,  HUMBERTO DE HOLANDA MADEIRA BARROS / MANOEL MIQUEIAS MAIA / ROMMEL PRATA REGADAS,-,,
Ceará,UECE,BR 51 2020 001816 5,04/09/2020,PDE: Predição de Demanda Elástica,R, TC-04," AP-01 , CD-01 , DS-01 , FA-01 , UT-02",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, DYEGO HENRIQUE LEONEL OLIVEIRA / RAFAEL LOPES GOMES,-,,
Ceará,UECE,BR 51 2020 001794 0,02/09/2020,DAAI: Detecção de Anomalias em Ambientes Inteligentes,PYTHON, TC-04,"AP-01 , CD-01 , CD-05 , CD-06 , DS-01 , FA-01, PD-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, DIEGO ALYSSON MOREIRA / HUMBERTO PIRES MARQUES / RAFAEL LOPES GOMES,-,,
Ceará,UECE,BR 51 2020 001793 2,02/09/2020,HCM: Huffman Compression for Microcontrollers,C, TC-04," AP-01 , CD-01 , DS-01 , FA-01 , UT-02",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,MARCUS DE VASCONCELOS DIOGO SILVA / RAFAEL LOPES GOMES,-,,
Ceará,UECE,BR 51 2019 002632 2,19/11/2019,Heterogeneous Wireless Channels Assigner,JAVA, AH-02 / IN-01 / IN-02/ TC-04,FA-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, GABRIEL GALDINO DA SILVA / JOAQUIM CELESTINO JÚNIOR / RAFAEL LOPES GOMES,-,,
Ceará,UECE,BR 51 2019 002598 9,14/11/2019,Cardio Health,PYTHON, SD-01 / SD-03 / SD-08,FA-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,  DIEGO ALYSSON BRAGA MOREIRA / JOAQUIM CELESTINO JÚNIOR / RAFAEL LOPES GOMES,-,,
Ceará,UECE,BR 51 2019 001848 6,23/08/2019,BRINCÁLCULO,OUTROS, ED-04, ET-02,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,AMANDA MARIA DOMINGOS DE OLIVEIRA / DENNYS LEITE MAIA / DILBERTO CHAVES LIMA / FABIANA DE SOUZA MARINHEIRO / GARDNER DE ANDRADE ARRAIS / GUTEMBERG DOS SANTOS CHAVES / ISIS RAMONA MEDEIROS DA CUNHA / JALES ANDERSON DE ASSIS MONTEIRO / JEAN LOPES ORDÉAS NASCIMENTO / KAMILLA DE OLIVEIRA PINHEIRO / MANOEL MESSIAS DE BARROS JUNIOR / MARIA CLARA SOUZA DE FONTES PEREIRA / PRISCILA LAUREN DOS SANTOS LINHARES / RENAN BEZERRA KIMURA / RODOLFO ARAÚJO DE CARVALHO / RODRIGO RODRIGUES MELO DE LIMA,-,,
